ID,ParentID,Name,top,columns,sort_order,Image,date_added,date_modified,language_id,seo_keyword,description,meta_description,meta_keywords,store_ids,layout,Status
526,504,Lino Marrone,,,,,,,,Lino Marrone,,,,,,TRUE
149,504,Prabangi ruda (Pelle Marrone),,,,data/DEZUTES/Pelle Marrone/167.gif,,,,Prabangi ruda (Pelle Marrone),,,,,,TRUE
460,504,Rausva (Matelasse Nudo),,,,/Dezutes/Matelasse Nudo/snudo.jpg,,,,Rausva (Matelasse Nudo),,,,,,TRUE
188,504,Ruda ( Lari Ramato),,,,data/DEZUTES/Lari Ramato/223.gif,,,,Ruda ( Lari Ramato),,,,,,TRUE
167,504,Ruda ( Seta Marrone),,,,data/DEZUTES/Seta Marrone/98.gif,,,,Ruda ( Seta Marrone),,,,,,TRUE
479,504,Ruda (Matelase cuoio),,,,,,,,Ruda (Matelase cuoio),,,,,,TRUE
480,504,Ruda (Matelasse cuoio),,,,/Dezutes/Matelasse Cuoio/mate virsus.jpg,,,,Ruda (Matelasse cuoio),,,,,,TRUE
220,504,Smėlio sp. (Sacco),,,,data/DEZUTES/Sacco/dovanu dezutes sacco.jpg,,,,Smėlio sp. (Sacco),,,,,,TRUE
507,128,Geltonos ir oranžinės dėžutės,,,,/filter/Atviruko spalva forma/oranzine ir geltona.jpg,,,,Geltonos ir oranžinės dėžutės,,,,,,TRUE
218,507,Oranžinė (Terra),,,,data/DEZUTES/Terra/dovanu dezutes oranzine terra.jpg,,,,Oranžinė (Terra),,,,,,TRUE
111,128,In Perla,,,,data/DEZUTES/In Perla/148.gif,,,,In Perla,,,,,,TRUE
503,128,Juodos ir pilkos dėžutės,,,,/filter/Atviruko spalva forma/juodos is pilkos.jpg,,,,Juodos ir pilkos dėžutės,,,,,,TRUE
260,503,Juoda (Pelle Nero),,,,data/DEZUTES/Pelle Nero/dovanu-dezutes-juodos-skaidrios-dezute-deze-pakavimui.jpg,,,,Juoda (Pelle Nero),,,,,,TRUE
177,503,Juoda (Seta Nero),,,,data/DEZUTES/Seta Nero/168.gif,,,,Juoda (Seta Nero),,,,,,TRUE
513,503,Pilka (Damas. Tortora),,,,,,,,Pilka (Damas. Tortora),,,,,,TRUE
